family,condition,metric,n_seeds,H0_mean,H0_sample_std,H0_B3_mean,H0_B3_sample_std,paired_difference_mean,paired_difference_sample_std,relative_change_mean,B3_improved_seeds
representation,A missing,D_cross,3,0.3896548024979924,0.08925850253298774,0.35097843221300334,0.044056926977402246,-0.0386763702849891,0.07599472410656422,-0.07814509385655888,2
representation,A+V missing,D_cross,3,0.5579099270357356,0.024053910048122944,0.5661484688478411,0.06258196915898229,0.008238541812105519,0.08390629050267236,0.01886475825771336,2
representation,T missing,D_cross,3,0.7375226001060966,0.040729216215845195,0.7307509964327537,0.009490473107150864,-0.006771603673343063,0.03955039275523881,-0.007326081848781946,1
representation,T+A missing,D_cross,3,0.8614618788932731,0.04601953015706722,0.8506725754012444,0.03707107747681502,-0.010789303492028593,0.07105623548920378,-0.009962900644745873,1
representation,T+V missing,D_cross,3,0.8411987178967757,0.05088618569478752,0.8541053748911295,0.014460468259281503,0.012906656994353819,0.04208765579320298,0.01727187687259858,1
representation,V missing,D_cross,3,0.3568429283401378,0.03329038987586423,0.3872074504342753,0.030895733575013153,0.030364522094137553,0.011600535165063871,0.08627838390240801,0
representation,mean(6),D_cross,3,0.6240984757950018,0.026125364827610523,0.6233105497033745,0.01975337911239725,-0.0007879260916272927,0.04580370624897748,0.0007977425220691003,2
task,A missing,Corr,3,0.5963784116076857,0.003305068447312606,0.6015288052592392,0.004656585118380988,0.005150393651553564,0.0017492690059422282,0.008629103575430602,0
task,A missing,DeltaCorr,3,-0.0007241062801987738,0.007020424555911928,2.50171986146223e-05,0.008748081285317602,0.000749123478813396,0.004907844610482999,-1.1839903813131876,1
task,A missing,DeltaMAE,3,-0.0014875442486597852,0.013591632811713482,-0.006347483385190311,0.0012454874521866054,-0.004859939136530526,0.014822475321851264,-1.8344432564022248,2
task,A missing,MAE,3,0.6676265946319622,0.008992626816600196,0.6573596543987686,0.0015910922502350817,-0.010266940233193522,0.00837948128962251,-0.015269114670640826,3
