seed,condition,variant,D_cross,DeltaMAE,DeltaCorr
42,T missing,H0,0.7036733513971726,0.13503856663099723,0.3126725808482747
42,T missing,B3,0.7214788666284192,0.13640545315169172,0.30439123549506053
42,A missing,H0,0.4922995880223761,0.010037027277740806,0.006464607200883821
42,A missing,B3,0.3815147235422166,-0.007234128407496931,0.010060342888441931
42,V missing,H0,0.32157735584032326,0.0022373638702939402,0.005161803996853398
42,V missing,B3,0.3515831311073635,0.007571949023972402,0.009663863496318204
42,T+A missing,H0,0.86533251982486,0.14661322232402396,0.36886658811580253
42,T+A missing,B3,0.8872382664269571,0.14119481671326328,0.3727860443984248
42,T+V missing,H0,0.8061009707124364,0.15199735583651242,0.3844026655498864
42,T+V missing,B3,0.8375538998617019,0.15154007638217093,0.3718215579729064
42,A+V missing,H0,0.5739378800650621,0.0026064930504158257,0.0065834430691416035
42,A+V missing,B3,0.5624207207018099,-0.0006572100739655751,0.02019799490737917
43,T missing,H0,0.7261710803645522,0.14060148102679226,0.33550261582091595
43,T missing,B3,0.7404456961770728,0.14874088793556517,0.34509257089984924
43,A missing,H0,0.3302629439591004,0.0019762564194554244,-0.0010737504278549581
43,A missing,B3,0.3709475395427096,-0.006884790491613613,-0.005991697646368643
43,V missing,H0,0.36122789947651446,0.005058729654045968,-0.0038467041094574217
43,V missing,B3,0.4033681690576522,-0.005135830474932046,-0.014139322902509188
43,T+A missing,H0,0.8136292735408845,0.1438351088130677,0.36649586301048065
43,T+A missing,B3,0.8516634805651793,0.1562076721780905,0.366414688216755
43,T+V missing,H0,0.8179368698400631,0.15190077028910254,0.36394293002580297
43,T+V missing,B3,0.8604728021479544,0.16109186606997172,0.3760761683082098
43,A+V missing,H0,0.5302511260150996,0.012262279822886413,0.0032985293041747354
43,A+V missing,B3,0.6305109891792808,-0.01504852124490852,-0.02047072618910961
44,T missing,H0,0.7827233685565651,0.12443727563850826,0.3075449813106831
44,T missing,B3,0.7303284264927687,0.1422566648764444,0.32745117531250806
44,A missing,H0,0.3464018755125008,-0.016475916443175587,-0.007563175613625184
44,A missing,B3,0.3004730335540838,-0.0049235312564603895,-0.003993593646229421
44,V missing,H0,0.3877235297035756,0.008462897168711958,0.013059130433829558
44,V missing,B3,0.40667105113781027,0.00023457474866972472,-0.0019179145609303783
44,T+A missing,H0,0.9054238433140746,0.13186439720144727,0.34797274450037147
44,T+A missing,B3,0.813115979211597,0.14930327104425833,0.37712145478446557
44,T+V missing,H0,0.8995583131378276,0.14167604167130698,0.37470759156111355
44,T+V missing,B3,0.8642894226637322,0.16233741995264128,0.41498778340600095
44,A+V missing,H0,0.5695407750270451,-0.007031998884926893,0.009880878579141328
44,A+V missing,B3,0.5055136966624326,-0.005619353933078108,-0.004661602831762868
