seed,variant,family,condition,metric,value
42,H0,task,None,MAE,0.6670399430429957
42,H0,task,None,Corr,0.6011442365693448
42,H0,task,None,DeltaMAE,0.0
42,H0,task,None,DeltaCorr,0.0
42,H0,task,T missing,MAE,0.802078509673993
42,H0,task,T missing,Corr,0.2884716557210701
42,H0,task,T missing,DeltaMAE,0.13503856663099723
42,H0,task,T missing,DeltaCorr,0.3126725808482747
42,H0,task,A missing,MAE,0.6770769703207365
42,H0,task,A missing,Corr,0.594679629368461
42,H0,task,A missing,DeltaMAE,0.010037027277740806
42,H0,task,A missing,DeltaCorr,0.006464607200883821
42,H0,task,V missing,MAE,0.6692773069132897
42,H0,task,V missing,Corr,0.5959824325724914
42,H0,task,V missing,DeltaMAE,0.0022373638702939402
42,H0,task,V missing,DeltaCorr,0.005161803996853398
42,H0,task,T+A missing,MAE,0.8136531653670197
42,H0,task,T+A missing,Corr,0.23227764845354226
42,H0,task,T+A missing,DeltaMAE,0.14661322232402396
42,H0,task,T+A missing,DeltaCorr,0.36886658811580253
42,H0,task,T+V missing,MAE,0.8190372988795082
42,H0,task,T+V missing,Corr,0.2167415710194584
42,H0,task,T+V missing,DeltaMAE,0.15199735583651242
42,H0,task,T+V missing,DeltaCorr,0.3844026655498864
42,H0,task,A+V missing,MAE,0.6696464360934116
42,H0,task,A+V missing,Corr,0.5945607935002032
42,H0,task,A+V missing,DeltaMAE,0.0026064930504158257
42,H0,task,A+V missing,DeltaCorr,0.0065834430691416035
42,H0,task,missAvg,MAE,0.7417949478746597
42,H0,task,missAvg,Corr,0.4204522884392044
42,H0,task,missAvg,DeltaMAE,0.07475500483166403
42,H0,task,missAvg,DeltaCorr,0.18069194813014042
42,H0,representation,T missing,absolute_l2,5.473023024763398
42,H0,representation,T missing,cosine_drift,0.24774966263098555
42,H0,representation,T missing,relational_drift_rms,0.48720421441906986
42,H0,representation,T missing,legacy_D_cross,0.7035044694643416
42,H0,representation,T missing,shared_reference_D_cross,0.7035044694643416
42,H0,representation,A missing,absolute_l2,3.829002864982907
42,H0,representation,A missing,cosine_drift,0.10212650175035766
42,H0,representation,A missing,relational_drift_rms,0.1908424250537266
42,H0,representation,A missing,legacy_D_cross,0.49218149036084047
42,H0,representation,A missing,shared_reference_D_cross,0.49218149036084047
42,H0,representation,V missing,absolute_l2,2.5011608325578987
42,H0,representation,V missing,cosine_drift,0.057913161050554475
42,H0,representation,V missing,relational_drift_rms,0.19492167229945764
42,H0,representation,V missing,legacy_D_cross,0.32150016847950375
42,H0,representation,V missing,shared_reference_D_cross,0.32150016847950375
42,H0,representation,T+A missing,absolute_l2,6.730373657547027
42,H0,representation,T+A missing,cosine_drift,0.36425350240431614
42,H0,representation,T+A missing,relational_drift_rms,0.48748696847772605
42,H0,representation,T+A missing,legacy_D_cross,0.8651247999187966
42,H0,representation,T+A missing,shared_reference_D_cross,0.8651247999187966
42,H0,representation,T+V missing,absolute_l2,6.2696835771636765
42,H0,representation,T+V missing,cosine_drift,0.27740252502358287
42,H0,representation,T+V missing,relational_drift_rms,0.5633258501219947
42,H0,representation,T+V missing,legacy_D_cross,0.8059075210728731
42,H0,representation,T+V missing,shared_reference_D_cross,0.8059075210728731
42,H0,representation,A+V missing,absolute_l2,4.463967917823638
42,H0,representation,A+V missing,cosine_drift,0.14730813571619825
42,H0,representation,A+V missing,relational_drift_rms,0.26380668584231504
42,H0,representation,A+V missing,legacy_D_cross,0.5738001407129331
42,H0,representation,A+V missing,shared_reference_D_cross,0.5738001407129331
42,H0,representation,mean(6),absolute_l2,4.877868645806424
42,H0,representation,mean(6),cosine_drift,0.19945891476266586
42,H0,representation,mean(6),relational_drift_rms,0.36459796936904826
42,H0,representation,mean(6),legacy_D_cross,0.6270030983348814
42,H0,representation,mean(6),shared_reference_D_cross,0.6270030983348814
42,B3_POINT,task,None,MAE,0.6660397914098867
