missing_rate,seed1111_mae,seed1111_corr,seed1112_mae,seed1112_corr,seed1113_mae,seed1113_corr,mae_mean,mae_sample_std,corr_mean,corr_sample_std
0.0,0.8022,0.7346,0.7136,0.7979,0.7622,0.7745,0.759333,0.044370,0.769000,0.032006
0.1,0.8650,0.6792,0.8134,0.7353,0.8419,0.7004,0.840100,0.025847,0.704967,0.028327
0.2,0.9126,0.6492,0.8980,0.6709,0.9294,0.6339,0.913333,0.015713,0.651333,0.018592
0.3,0.9523,0.6101,0.9576,0.6200,0.9785,0.5844,0.962800,0.013852,0.604833,0.018375
0.4,0.9968,0.5772,0.9858,0.5913,1.0241,0.5441,1.002233,0.019720,0.570867,0.024229
0.5,1.0687,0.5126,1.0463,0.5375,1.1101,0.4642,1.075033,0.032368,0.504767,0.037273
0.6,1.1659,0.4248,1.1311,0.4445,1.1956,0.3848,1.164200,0.032284,0.418033,0.030420
0.7,1.2534,0.3434,1.2296,0.3526,1.2505,0.3255,1.244500,0.012985,0.340500,0.013781
0.8,1.3404,0.2555,1.3180,0.2557,1.3305,0.2339,1.329633,0.011225,0.248367,0.012529
0.9,1.4204,0.1600,1.3962,0.1387,1.3855,0.1153,1.400700,0.017880,0.138000,0.022358
