timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/15 18:20:51.234, NVIDIA GeForce RTX 3090, 0 %, 1 MiB, 24576 MiB, 29, 17.63 W
2026/09/15 18:20:56.239, NVIDIA GeForce RTX 3090, 0 %, 1 MiB, 24576 MiB, 29, 14.88 W
2026/09/15 18:21:01.240, NVIDIA GeForce RTX 3090, 95 %, 13494 MiB, 24576 MiB, 51, 328.36 W
2026/09/15 18:21:06.235, NVIDIA GeForce RTX 3090, 100 %, 13494 MiB, 24576 MiB, 57, 336.72 W
2026/09/15 18:21:11.230, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 56, 251.51 W
2026/09/15 18:21:16.227, NVIDIA GeForce RTX 3090, 92 %, 13588 MiB, 24576 MiB, 60, 334.22 W
2026/09/15 18:21:21.225, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 58, 272.30 W
2026/09/15 18:21:26.222, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 51, 111.82 W
2026/09/15 18:21:31.220, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 60, 334.10 W
2026/09/15 18:21:36.218, NVIDIA GeForce RTX 3090, 90 %, 13588 MiB, 24576 MiB, 62, 328.78 W
2026/09/15 18:21:41.217, NVIDIA GeForce RTX 3090, 5 %, 13588 MiB, 24576 MiB, 56, 145.33 W
2026/09/15 18:21:46.216, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 53, 113.51 W
2026/09/15 18:21:51.260, NVIDIA GeForce RTX 3090, 5 %, 13588 MiB, 24576 MiB, 52, 112.68 W
2026/09/15 18:21:56.326, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 51, 111.64 W
2026/09/15 18:22:01.361, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 61, 333.74 W
2026/09/15 18:22:06.380, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 60, 194.61 W
2026/09/15 18:22:11.392, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 54, 114.67 W
2026/09/15 18:22:16.399, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 63, 334.11 W
2026/09/15 18:22:21.405, NVIDIA GeForce RTX 3090, 63 %, 13588 MiB, 24576 MiB, 61, 206.09 W
2026/09/15 18:22:26.400, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 116.59 W
2026/09/15 18:22:31.396, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 63, 335.00 W
2026/09/15 18:22:36.394, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 60, 288.64 W
2026/09/15 18:22:41.392, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 57, 129.37 W
2026/09/15 18:22:46.392, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 62, 333.99 W
2026/09/15 18:22:51.392, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 335.35 W
2026/09/15 18:22:56.393, NVIDIA GeForce RTX 3090, 4 %, 13588 MiB, 24576 MiB, 60, 236.41 W
2026/09/15 18:23:01.394, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 333.41 W
2026/09/15 18:23:06.395, NVIDIA GeForce RTX 3090, 33 %, 13588 MiB, 24576 MiB, 64, 318.59 W
2026/09/15 18:23:11.397, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 58, 128.66 W
2026/09/15 18:23:16.399, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 63, 212.56 W
2026/09/15 18:23:21.400, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 336.96 W
2026/09/15 18:23:26.402, NVIDIA GeForce RTX 3090, 47 %, 13588 MiB, 24576 MiB, 62, 276.22 W
2026/09/15 18:23:31.338, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 57, 118.55 W
2026/09/15 18:23:36.296, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 331.78 W
2026/09/15 18:23:41.275, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 61, 200.68 W
2026/09/15 18:23:46.263, NVIDIA GeForce RTX 3090, 5 %, 13588 MiB, 24576 MiB, 58, 119.15 W
