timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/15 18:35:02.475, NVIDIA GeForce RTX 3090, 0 %, 1 MiB, 24576 MiB, 29, 18.53 W
2026/09/15 18:35:07.472, NVIDIA GeForce RTX 3090, 0 %, 762 MiB, 24576 MiB, 33, 52.51 W
2026/09/15 18:35:12.464, NVIDIA GeForce RTX 3090, 96 %, 13494 MiB, 24576 MiB, 54, 332.93 W
2026/09/15 18:35:17.459, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 50, 211.73 W
2026/09/15 18:35:22.456, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 58, 333.97 W
2026/09/15 18:35:27.478, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 61, 333.77 W
2026/09/15 18:35:32.497, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 53, 127.82 W
2026/09/15 18:35:37.509, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 51, 111.77 W
2026/09/15 18:35:42.527, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 50, 111.18 W
2026/09/15 18:35:47.532, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 60, 333.96 W
2026/09/15 18:35:52.537, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 245.89 W
2026/09/15 18:35:57.548, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 54, 114.05 W
2026/09/15 18:36:02.603, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 53, 112.93 W
2026/09/15 18:36:07.654, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 52, 112.35 W
2026/09/15 18:36:12.724, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 51, 111.83 W
2026/09/15 18:36:17.735, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 51, 111.72 W
2026/09/15 18:36:22.742, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 50, 111.34 W
2026/09/15 18:36:27.799, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 50, 111.15 W
2026/09/15 18:36:32.836, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 58, 335.36 W
2026/09/15 18:36:37.814, NVIDIA GeForce RTX 3090, 87 %, 13588 MiB, 24576 MiB, 61, 332.05 W
2026/09/15 18:36:42.802, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 57, 272.46 W
2026/09/15 18:36:47.796, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 53, 113.69 W
2026/09/15 18:36:52.791, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 52, 112.95 W
2026/09/15 18:36:57.790, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 52, 112.32 W
2026/09/15 18:37:02.787, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 51, 111.99 W
2026/09/15 18:37:07.797, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 51, 111.69 W
2026/09/15 18:37:12.805, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 50, 111.63 W
2026/09/15 18:37:17.841, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 50, 111.14 W
2026/09/15 18:37:22.846, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 50, 111.33 W
2026/09/15 18:37:27.870, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 50, 110.86 W
2026/09/15 18:37:32.924, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 50, 110.90 W
2026/09/15 18:37:37.925, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 50, 110.61 W
2026/09/15 18:37:42.936, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 49, 110.57 W
2026/09/15 18:37:47.937, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 49, 111.74 W
2026/09/15 18:37:52.939, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 49, 111.44 W
2026/09/15 18:37:57.940, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 57, 227.53 W
2026/09/15 18:38:02.941, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 61, 333.11 W
2026/09/15 18:38:07.945, NVIDIA GeForce RTX 3090, 69 %, 13588 MiB, 24576 MiB, 60, 271.51 W
2026/09/15 18:38:12.962, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 53, 113.48 W
2026/09/15 18:38:17.995, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 52, 112.74 W
2026/09/15 18:38:23.005, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 60, 333.54 W
2026/09/15 18:38:28.012, NVIDIA GeForce RTX 3090, 93 %, 13588 MiB, 24576 MiB, 63, 331.91 W
2026/09/15 18:38:33.019, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 57, 165.71 W
2026/09/15 18:38:38.034, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 54, 114.72 W
2026/09/15 18:38:43.071, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 53, 113.92 W
2026/09/15 18:38:48.075, NVIDIA GeForce RTX 3090, 6 %, 13588 MiB, 24576 MiB, 53, 113.65 W
2026/09/15 18:38:53.078, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 52, 113.04 W
2026/09/15 18:38:58.091, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 51, 112.72 W
2026/09/15 18:39:03.126, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 51, 112.45 W
2026/09/15 18:39:08.150, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 51, 112.24 W
2026/09/15 18:39:13.152, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 50, 111.75 W
2026/09/15 18:39:18.184, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 50, 111.27 W
2026/09/15 18:39:23.217, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 59, 336.86 W
2026/09/15 18:39:28.218, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 62, 333.99 W
2026/09/15 18:39:33.220, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 57, 238.45 W
2026/09/15 18:39:38.221, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 64, 331.99 W
2026/09/15 18:39:43.223, NVIDIA GeForce RTX 3090, 98 %, 13588 MiB, 24576 MiB, 63, 250.01 W
2026/09/15 18:39:48.225, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 116.05 W
2026/09/15 18:39:53.227, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 55, 115.57 W
2026/09/15 18:39:58.230, NVIDIA GeForce RTX 3090, 99 %, 13588 MiB, 24576 MiB, 62, 337.65 W
2026/09/15 18:40:03.232, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 64, 336.96 W
2026/09/15 18:40:08.234, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 58, 156.11 W
2026/09/15 18:40:13.236, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 55, 115.81 W
2026/09/15 18:40:18.238, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 54, 115.39 W
2026/09/15 18:40:23.240, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 63, 334.11 W
2026/09/15 18:40:28.243, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 60, 286.05 W
2026/09/15 18:40:33.245, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 334.57 W
2026/09/15 18:40:38.247, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 337.30 W
2026/09/15 18:40:43.249, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 338.08 W
2026/09/15 18:40:48.252, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 67, 331.97 W
2026/09/15 18:40:53.254, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 61, 164.17 W
2026/09/15 18:40:58.267, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 58, 118.96 W
2026/09/15 18:41:03.299, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 57, 117.94 W
2026/09/15 18:41:08.302, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 55, 116.85 W
2026/09/15 18:41:13.304, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 54, 116.67 W
2026/09/15 18:41:18.326, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 59, 150.92 W
2026/09/15 18:41:23.328, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 64, 336.33 W
2026/09/15 18:41:28.330, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 63, 202.51 W
2026/09/15 18:41:33.332, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 117.01 W
2026/09/15 18:41:38.334, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 55, 116.48 W
2026/09/15 18:41:43.336, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 54, 115.54 W
2026/09/15 18:41:48.359, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 53, 114.67 W
2026/09/15 18:41:53.361, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 53, 113.92 W
2026/09/15 18:41:58.363, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 52, 113.96 W
2026/09/15 18:42:03.365, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 52, 113.36 W
2026/09/15 18:42:08.367, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 52, 112.85 W
2026/09/15 18:42:13.369, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 51, 112.59 W
2026/09/15 18:42:18.402, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 59, 195.66 W
2026/09/15 18:42:23.405, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 62, 332.29 W
2026/09/15 18:42:28.368, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 273.58 W
2026/09/15 18:42:33.300, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 330.73 W
2026/09/15 18:42:38.265, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 60, 193.07 W
2026/09/15 18:42:43.247, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 332.15 W
2026/09/15 18:42:48.237, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 67, 334.41 W
2026/09/15 18:42:53.232, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 122.47 W
2026/09/15 18:42:58.291, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 57, 117.57 W
2026/09/15 18:43:03.386, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 116.46 W
2026/09/15 18:43:08.394, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 64, 333.41 W
2026/09/15 18:43:13.401, NVIDIA GeForce RTX 3090, 34 %, 13588 MiB, 24576 MiB, 63, 193.66 W
2026/09/15 18:43:18.404, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 336.10 W
2026/09/15 18:43:23.408, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 67, 333.04 W
2026/09/15 18:43:28.411, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 60, 148.89 W
2026/09/15 18:43:33.413, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 57, 118.39 W
2026/09/15 18:43:38.424, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 117.27 W
2026/09/15 18:43:43.425, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 331.99 W
