dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSEI,A,M0/M1 Baseline,42,None,0.0,16,184321,0.6526361575902832,0.5976129164568745,2026-09-05 14:30:51
MOSEI,A,M0/M1 Baseline,42,T missing,0.0,16,184321,0.8074025027035426,0.2222668791591348,2026-09-05 14:30:52
MOSEI,A,M0/M1 Baseline,42,A missing,0.0,16,184321,0.705730782748435,0.5318140681774542,2026-09-05 14:30:53
MOSEI,A,M0/M1 Baseline,42,V missing,0.0,16,184321,0.656473739347885,0.5930655346392839,2026-09-05 14:30:54
MOSEI,A,M0/M1 Baseline,42,T+A missing,0.0,16,184321,0.8485376046971088,0.07412659700927647,2026-09-05 14:30:55
MOSEI,A,M0/M1 Baseline,42,T+V missing,0.0,16,184321,0.8302961540362398,0.09980406096375907,2026-09-05 14:30:56
MOSEI,A,M0/M1 Baseline,42,A+V missing,0.0,16,184321,0.7646025522443693,0.45365776854004186,2026-09-05 14:30:57
MOSEI,B,M0/M1 Baseline,42,None,0.5,14,184321,0.657909406084665,0.609999515750291,2026-09-05 14:30:58
MOSEI,B,M0/M1 Baseline,42,T missing,0.5,14,184321,0.7988047362974744,0.2684691918586714,2026-09-05 14:30:59
MOSEI,B,M0/M1 Baseline,42,A missing,0.5,14,184321,0.6549083480355432,0.6113869285170531,2026-09-05 14:31:00
MOSEI,B,M0/M1 Baseline,42,V missing,0.5,14,184321,0.659007336344883,0.6090370791108515,2026-09-05 14:31:01
MOSEI,B,M0/M1 Baseline,42,T+A missing,0.5,14,184321,0.7972661926027697,0.2506557226691714,2026-09-05 14:31:02
MOSEI,B,M0/M1 Baseline,42,T+V missing,0.5,14,184321,0.8134400337397825,0.2275561314409322,2026-09-05 14:31:03
MOSEI,B,M0/M1 Baseline,42,A+V missing,0.5,14,184321,0.657880746598955,0.6025254350718375,2026-09-05 14:31:04
MOSEI,A,M2 MaskAware,42,None,0.0,22,185089,0.6639262500289428,0.5903693545172246,2026-09-05 14:31:05
