epoch,F0_‖zf‖,F1_‖zf‖,F2_‖zf‖,F3_‖zf‖,F3_‖zm‖,F3_‖zf-zm‖,F3_validMAE,F3_validCorr,F3_task,F3_cons
1,5.16,5.31,7.6,8.92,7.27,5.0,0.7317,0.3109,0.8339,0.4065
2,7.77,3.99,6.37,5.43,4.94,3.04,0.7019,0.415,0.7752,0.315
3,7.4,4.41,5.74,6.26,5.82,3.56,0.7179,0.385,0.7743,0.3166
4,8.01,3.8,6.1,7.38,6.45,3.88,0.7078,0.3936,0.77,0.2937
5,7.94,3.42,5.95,5.31,4.97,3.01,0.7033,0.41,0.7546,0.2904
6,7.44,3.57,6.06,6.27,5.54,3.41,0.6986,0.3953,0.7585,0.2727
7,7.83,3.33,5.52,6.66,5.81,3.31,0.692,0.4223,0.7502,0.2383
8,8.5,3.47,6.91,6.33,5.5,3.14,0.6942,0.4093,0.7461,0.2082
9,8.13,4.02,7.45,8.08,7.11,4.32,0.7203,0.3432,0.7529,0.2449
10,8.16,3.63,7.96,17.45,14.93,9.43,0.7094,0.3676,0.7783,0.291
11,8.91,3.85,8.1,18.78,16.25,10.02,0.6963,0.414,0.7647,0.3122
12,9.49,3.92,6.98,43.63,35.54,21.45,0.696,0.4263,0.7598,0.2759
13,10.01,5.18,7.97,69.91,56.93,32.73,0.7021,0.4047,0.765,0.2104
14,9.26,4.98,12.82,114.6,88.64,57.13,0.6901,0.4261,0.7761,0.2534
15,10.44,4.23,8.09,69.47,55.12,34.51,0.6885,0.4363,0.7618,0.2347
16,10.95,4.15,7.95,45.82,39.76,21.95,0.7278,0.3603,0.7475,0.2455
17,11.62,5.25,10.45,42.62,39.17,21.81,0.6979,0.4094,0.7497,0.2578
18,11.89,7.07,10.92,52.93,47.1,26.08,0.7126,0.3586,0.7565,0.2517
19,12.48,4.79,22.03,99.36,85.61,48.17,0.692,0.4288,0.7559,0.2079
20,12.93,5.44,9.34,67.03,58.7,30.74,0.7066,0.4114,0.7413,0.1943
21,12.71,4.84,10.38,65.1,58.02,28.99,0.7016,0.4208,0.7448,0.1863
22,13.25,5.47,11.6,56.88,53.13,25.05,0.6916,0.4161,0.7378,0.1888
23,15.82,5.64,11.39,57.52,53.53,25.34,0.6864,0.4406,0.7338,0.1864
24,14.87,6.78,13.32,53.45,50.19,24.54,0.7135,0.4206,0.7362,0.2051
25,14.24,7.59,13.4,196.49,160.6,87.46,0.6944,0.4317,0.771,0.1496
26,16.13,7.5,12.75,85.34,76.38,38.04,0.6948,0.4305,0.7403,0.1811
27,16.44,8.52,13.19,70.32,65.92,30.58,0.6841,0.4369,0.7368,0.1843
28,15.93,7.52,13.8,85.85,82.94,41.27,0.7067,0.4422,0.7505,0.2018
29,15.56,7.78,13.38,64.06,62.54,29.24,0.6826,0.4341,0.738,0.1906
30,15.83,8.13,12.63,65.22,63.44,28.78,0.6929,0.4322,0.7335,0.1755
