variant,cond,n_avail,mean_α_T,mean_α_A,mean_α_V,H(α)_mean,H_norm_mean,max_α_mean,min_avail_α_mean,frac_sat(maxα>0.9)
F1,None,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
F1,T missing,2,0.0,0.0045,0.9955,0.0002,0.0003,0.9999,0.0001,1.0
F1,A missing,2,1.0,0.0,0.0,0.0002,0.0002,1.0,0.0,1.0
F1,V missing,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
F1,T+A missing,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
F1,T+V missing,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
F1,A+V missing,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
F2,None,3,0.964,0.0001,0.0359,0.0826,0.0752,0.9705,0.0001,0.9108
F2,T missing,2,0.0,0.0136,0.9864,0.0139,0.02,0.9944,0.0056,0.9841
F2,A missing,2,0.964,0.0,0.036,0.0824,0.1188,0.9706,0.0294,0.9108
F2,V missing,2,0.9999,0.0001,0.0,0.0004,0.0005,0.9999,0.0001,0.9998
F2,T+A missing,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
F2,T+V missing,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
F2,A+V missing,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
F3,None,3,0.9897,0.0,0.0103,0.0,0.0,1.0,0.0,1.0
F3,T missing,2,0.0,0.0011,0.9989,0.0,0.0,1.0,0.0,1.0
F3,A missing,2,0.9894,0.0,0.0106,0.0,0.0,1.0,0.0,1.0
F3,V missing,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
F3,T+A missing,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
F3,T+V missing,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
F3,A+V missing,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
