dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSI-Final,A,"H0+B3        (rep+cons, 无融合)",42,None,0.5,26,413441,1.0522255103264015,0.5951316385247039,2026-09-06 14:02:33
MOSI-Final,A,"H0+B3        (rep+cons, 无融合)",42,T missing,0.5,26,413441,1.527920508244056,0.16677255099773125,2026-09-06 14:02:33
MOSI-Final,A,"H0+B3        (rep+cons, 无融合)",42,A missing,0.5,26,413441,1.0495068322454442,0.5876917106263613,2026-09-06 14:02:33
MOSI-Final,A,"H0+B3        (rep+cons, 无融合)",42,V missing,0.5,26,413441,1.1041145160463,0.5897532393313185,2026-09-06 14:02:33
MOSI-Final,A,"H0+B3        (rep+cons, 无融合)",42,T+A missing,0.5,26,413441,1.4426671090500522,0.10427562510257393,2026-09-06 14:02:34
MOSI-Final,A,"H0+B3        (rep+cons, 无融合)",42,T+V missing,0.5,26,413441,1.7092903242079927,0.12561647381280502,2026-09-06 14:02:34
MOSI-Final,A,"H0+B3        (rep+cons, 无融合)",42,A+V missing,0.5,26,413441,1.0564369380707601,0.588532043921474,2026-09-06 14:02:34
MOSI-Final,A,"H0+F2        (rep+fusion, 无cons)",42,None,0.5,22,545281,1.0629189607671004,0.6182197191647004,2026-09-06 14:02:54
MOSI-Final,A,"H0+F2        (rep+fusion, 无cons)",42,T missing,0.5,22,545281,1.8442821725177967,0.16691779815920543,2026-09-06 14:02:54
MOSI-Final,A,"H0+F2        (rep+fusion, 无cons)",42,A missing,0.5,22,545281,1.0405502336251797,0.60368992353255,2026-09-06 14:02:54
MOSI-Final,A,"H0+F2        (rep+fusion, 无cons)",42,V missing,0.5,22,545281,1.0297664082127165,0.6099069425519396,2026-09-06 14:02:54
MOSI-Final,A,"H0+F2        (rep+fusion, 无cons)",42,T+A missing,0.5,22,545281,1.8514680202348488,0.08766358368072373,2026-09-06 14:02:54
MOSI-Final,A,"H0+F2        (rep+fusion, 无cons)",42,T+V missing,0.5,22,545281,1.6583940493663822,0.21528670743612827,2026-09-06 14:02:54
MOSI-Final,A,"H0+F2        (rep+fusion, 无cons)",42,A+V missing,0.5,22,545281,1.061764692767515,0.5722092946703335,2026-09-06 14:02:54
MOSI-Final,A,H0+B3+F2     (rep+fusion+cons)=FINAL,42,None,0.5,22,545281,1.0419755936966824,0.6076409062554341,2026-09-06 14:03:29
MOSI-Final,A,H0+B3+F2     (rep+fusion+cons)=FINAL,42,T missing,0.5,22,545281,1.7573533880228378,0.16086271173533867,2026-09-06 14:03:29
MOSI-Final,A,H0+B3+F2     (rep+fusion+cons)=FINAL,42,A missing,0.5,22,545281,1.039608571857605,0.5841774432042721,2026-09-06 14:03:29
MOSI-Final,A,H0+B3+F2     (rep+fusion+cons)=FINAL,42,V missing,0.5,22,545281,1.0641155213269653,0.58394748016046,2026-09-06 14:03:29
MOSI-Final,A,H0+B3+F2     (rep+fusion+cons)=FINAL,42,T+A missing,0.5,22,545281,1.7228639947451412,0.0838248636544027,2026-09-06 14:03:30
MOSI-Final,A,H0+B3+F2     (rep+fusion+cons)=FINAL,42,T+V missing,0.5,22,545281,1.8630343667630638,0.21068182854703174,2026-09-06 14:03:30
MOSI-Final,A,H0+B3+F2     (rep+fusion+cons)=FINAL,42,A+V missing,0.5,22,545281,1.1166356758651685,0.5150975428832353,2026-09-06 14:03:30
MOSI-Final,B,"H0+B3        (rep+cons, 无融合)",42,None,0.5,24,413441,1.1525524136727083,0.58273445121065,2026-09-06 14:03:55
MOSI-Final,B,"H0+B3        (rep+cons, 无融合)",42,T missing,0.5,24,413441,1.4521290035918355,0.1429072520607099,2026-09-06 14:03:56
MOSI-Final,B,"H0+B3        (rep+cons, 无融合)",42,A missing,0.5,24,413441,1.1595224771545467,0.5651186807947783,2026-09-06 14:03:56
MOSI-Final,B,"H0+B3        (rep+cons, 无融合)",42,V missing,0.5,24,413441,1.0971648156664635,0.5923285407289568,2026-09-06 14:03:56
MOSI-Final,B,"H0+B3        (rep+cons, 无融合)",42,T+A missing,0.5,24,413441,1.4971796427161024,0.06645053716827005,2026-09-06 14:03:56
MOSI-Final,B,"H0+B3        (rep+cons, 无融合)",42,T+V missing,0.5,24,413441,1.393052874567427,0.22853807693779427,2026-09-06 14:03:56
MOSI-Final,B,"H0+B3        (rep+cons, 无融合)",42,A+V missing,0.5,24,413441,1.103266468798367,0.5740904982549931,2026-09-06 14:03:56
MOSI-Final,B,"H0+F2        (rep+fusion, 无cons)",42,None,0.5,26,545281,1.1242415522443776,0.5898453628098697,2026-09-06 14:04:18
MOSI-Final,B,"H0+F2        (rep+fusion, 无cons)",42,T missing,0.5,26,545281,1.5032457541219575,0.15472906942516815,2026-09-06 14:04:19
MOSI-Final,B,"H0+F2        (rep+fusion, 无cons)",42,A missing,0.5,26,545281,1.125148381072615,0.589982651407683,2026-09-06 14:04:19
MOSI-Final,B,"H0+F2        (rep+fusion, 无cons)",42,V missing,0.5,26,545281,1.097187165866006,0.5971522021945481,2026-09-06 14:04:19
MOSI-Final,B,"H0+F2        (rep+fusion, 无cons)",42,T+A missing,0.5,26,545281,1.504759310614372,0.1302887410154022,2026-09-06 14:04:19
MOSI-Final,B,"H0+F2        (rep+fusion, 无cons)",42,T+V missing,0.5,26,545281,1.6148269277896852,0.19380036684079474,2026-09-06 14:04:19
MOSI-Final,B,"H0+F2        (rep+fusion, 无cons)",42,A+V missing,0.5,26,545281,1.103043497079826,0.5899149356476574,2026-09-06 14:04:20
