dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSI-MultiSeed,A,H0+B3    (rep+cons),42,missAvg,0.5,26,413441,1.3149893713107677,0.3604402739653773,2026-09-06 14:08:16
MOSI-MultiSeed,A,"H0+F2    (rep+fusion,nocons)",42,missAvg,0.5,22,545281,1.4143709294540734,0.37594570833848007,2026-09-06 14:08:39
MOSI-MultiSeed,A,H0+B3+F2 (FINAL),42,missAvg,0.5,22,545281,1.4272685864301302,0.35643197836412344,2026-09-06 14:09:12
MOSI-MultiSeed,B,H0+B3    (rep+cons),42,missAvg,0.5,24,413441,1.2837192137491238,0.36157226432425044,2026-09-06 14:09:36
MOSI-MultiSeed,B,"H0+F2    (rep+fusion,nocons)",42,missAvg,0.5,26,545281,1.3247018394240768,0.37597799442187557,2026-09-06 14:09:57
MOSI-MultiSeed,B,H0+B3+F2 (FINAL),42,missAvg,0.5,25,545281,1.2814574986708689,0.3582866752215321,2026-09-06 14:10:30
MOSI-MultiSeed,A,H0+B3    (rep+cons),43,missAvg,0.5,30,413441,1.263768484783627,0.35503224721214605,2026-09-06 14:10:54
MOSI-MultiSeed,A,"H0+F2    (rep+fusion,nocons)",43,missAvg,0.5,22,545281,1.4183228395501855,0.369056451997336,2026-09-06 14:11:17
MOSI-MultiSeed,A,H0+B3+F2 (FINAL),43,missAvg,0.5,25,545281,1.3383690778499124,0.36692517038570066,2026-09-06 14:11:50
MOSI-MultiSeed,B,H0+B3    (rep+cons),43,missAvg,0.5,20,413441,1.3010915179815654,0.39414351041634504,2026-09-06 14:12:15
MOSI-MultiSeed,B,"H0+F2    (rep+fusion,nocons)",43,missAvg,0.5,29,545281,1.2540789618074488,0.38746098050399863,2026-09-06 14:12:36
MOSI-MultiSeed,B,H0+B3+F2 (FINAL),43,missAvg,0.5,23,545281,1.2460633198213849,0.3835887882707824,2026-09-06 14:13:09
MOSI-MultiSeed,A,H0+B3    (rep+cons),44,missAvg,0.5,22,413441,1.2841186570465217,0.3557413282216788,2026-09-06 14:13:33
MOSI-MultiSeed,A,"H0+F2    (rep+fusion,nocons)",44,missAvg,0.5,28,545281,1.4172912037463459,0.37273370039981785,2026-09-06 14:13:55
MOSI-MultiSeed,A,H0+B3+F2 (FINAL),44,missAvg,0.5,20,545281,1.3985591347377289,0.3603024885555721,2026-09-06 14:14:30
MOSI-MultiSeed,B,H0+B3    (rep+cons),44,missAvg,0.5,22,413441,1.2416059428389727,0.39076615280220545,2026-09-06 14:14:54
MOSI-MultiSeed,B,"H0+F2    (rep+fusion,nocons)",44,missAvg,0.5,27,545281,1.258980778234208,0.3798782166024955,2026-09-06 14:15:15
MOSI-MultiSeed,B,H0+B3+F2 (FINAL),44,missAvg,0.5,20,545281,1.2853460375625056,0.37103656010400715,2026-09-06 14:15:48
